Dates,CDAR
2020-11-15,-0.4625203178741731
2020-11-22,-0.12447492453645204
2020-11-29,0.2259883433546686
2020-12-06,0.4314332811015744
2020-12-13,-0.04875892215097333
2020-12-20,-0.140657550322149
2020-12-27,0.11538963561935123
2021-01-03,0.05112824914308012
2021-01-10,-0.09015377722139084
2021-01-17,-0.07571499099272949
2021-01-24,-0.11671226972411886
2021-01-31,0.17883502202835377
2021-02-07,-0.283331778370591
2021-02-14,-0.24779672950640402
2021-02-21,-0.11253527958466028
2021-02-28,-0.3538533190516999
2021-03-07,-0.5764258102710585
2021-03-14,-0.6283439412679999
2021-03-21,0.7667278507830846
2021-03-28,0.4264120831884888
2021-04-04,-0.2252883067827183
2021-04-11,-0.20530373697941595
2021-04-18,0.008454704810551883
2021-04-25,0.7332109444281623
